sorszam,kod,rovid_nev,nev,iranyitoszam,varos,utca,telefon1,telefon2,telefon3,email,web,kulfoldi,ugyintezo,vevo_fokonyv,szallito_fokonyv,adoszam,vevo_tartozik,vevo_kovetel,szallito_tartozik,szallito_kovetel,maganjellegu,nev2,nev3,telefon4,vezeto,ugyintezo2,levelcim,level_irszam,level_varos,level_utca,level_szoveg,level_megjegyzes1,level_megjegyzes2,telefon1_tipus_sorszam,telefon2_tipus_sorszam,telefon3_tipus_sorszam,telefon4_tipus_sorszam,orszag,forma,telefon1_tipus,telefon2_tipus,telefon3_tipus,telefon4_tipus,telefon1_tipus_nev,telefon2_tipus_nev,telefon3_tipus_nev,telefon4_tipus_nev,vevo_fok,vevo_fok_nev,vevo_szamlatipus,szallito_fok,szallito_fok_nev,szall_szamlatipus,kulso_kod,jelleg_kod,jelleg_nev,jelleg,tipus_kod,tipus_nev,tipus,gln,vpid
14712,100030,Kispuszta-Hús Kft,Kispuszta-Hús Kft,5462,Kispuszta ?,Tanya 1.,56/457-428,kés.kam.nem fizet,,,,0,,,,13029382216,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
13199,100031,Béke Mg. Szövetkezet,Béke Mezõgazdasági Szövetkezet,6456,Madaras,Báthory utca 10.,30/499-1043,30/2498384 suhajda,79/458-088,,,0,,,,10079649203,,,,,0,,,,Müller József,,0,,,,,,,1,2,,,,,01,02,,,Hivatali telefon,Hivatali fax,,,,,,,,,,,,,,,,,
5124,100032,Agráció Kft.,Agráció Kft.,2100,Gödöllõ,Isaszegi u.166.,28/420-583,30/3-433-458,kp,,,0,,,,10545997213,,,,,0,,,,,,0,,,,,,,1,5,,,,,01,05,,,Hivatali telefon,Rádiótelefon,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5125,100033,Agárdi Zsolt,Agárdi Zsolt,6115,Kunszállás,Tanya 693/a,Agárdi Lacihoz tarto,,,,,0,,1091,,71445250123,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,311,Belföldi követelések,3,,,,,NRM,Normál,1,T,Termelõ,57,,
5126,100034,Agria Trade Rt,Agria Trade Rt,3301,Eger,Pf.: 199. deák F. t9.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5127,100035,Agricola,Agricola Mg.Rt.,2837,Vértesszõlõs,Major,34/379-011,30/39-62-984,34/379-313,,,0,Csenkei János 30/39-62-984,,,10641086211,,,,,0,,,,,,0,,,,,,,1,5,2,,,,01,05,02,,Hivatali telefon,Rádiótelefon,Hivatali fax,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5128,100036,Agrimónia 2000. Bt.,Agrimónia 2000. Bt.,6066,Tiszaalpár,Mátyás kir u 1,30/5290565Vancsuráné,"T.alpár,fax:424-061",Mátyás kir u 1,,,0,,,,21006276203,,,,,0,,, 30/2554495 vancsura,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5129,100037,Agrion West Kft.,Agrion West Kft.,3036,Gyöngyöstarján,Dobó út 19.,30/9-157-672,37/372-182,,,,0,,,,11174950210,,,,,0,,,,,,0,,,,,,,5,1,,,,,05,01,,,Rádiótelefon,Hivatali telefon,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5130,100038,Agriona Kft.,Agriona Kft.,2764,Tápióbicske,Pilisi u.2/a.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5131,100039,Agro 2000 Ker. Kft,Agro 2000 Ker. Kft,6000,Kecskemét,Szalag u.1/c,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5132,100040,Agro Garden Bt,Agro Garden Bt,2330,Dunaharaszti,Némedi u.10,24/490-217,30/906-1852,,,,0,,,,20317944213,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
14720,100041,Virágh Menyhért,Virágh Menyhért,6000,Kecskemét,Törökfái 43.,20/4353-395,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5134,100042,Agro Mini Diszkont,Agro Mini-Diszkont Kft,6000,Kecskemét,Belsõnyíri út  97/1.,30/854-30-83,76/401-687,,,,0,,,,14099986203,,,,,0,,,,,,0,,,,,,,1,1,,,,,01,01,,,Hivatali telefon,Hivatali telefon,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5135,100043,Agro Multisector Kft,Agro Multisector Kft.,1239,Budapest,XXIII. Ócsai út 6.,1/287-1346,1/289-0415,,agromultisector@axelero.hu,,0,Áprilyné B. Lilla,,,10757356243,,,,,0,,,30/299-9665,,Fogel Lászlóné Zsuzsanna növszer,1,1734,Budapest,Pf:6.,,,,1,2,,5,,K,01,02,,05,Hivatali telefon,Hivatali fax,,Rádiótelefon,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5136,100044,Agrobihar Kft,Agrobihar Kft,4031,Debrecen,Legányi ,70/3290787,,,,,0,,,,12110223209,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5137,100045,Agro-Bio-Chem Külker,Agro-Bio-Chem Külker Kft.,1075,Budapest,Károly Körút 3/a.,1/352-69-06,1/235-02-00,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
14822,100046,Vékony Csaba,Vékony Csaba,5400,Mezõtúr,Kodály Z.u.11.,06-20/911-37-35,,,,,0,,,,74167014236,,,,,0,,,,,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5139,100047,AGROCENTRUM.HU,AGROCENTRUM.HU Kft. ne használd!!,2370,Dabas,Szõlõhegyi u.2/a.,29/560-840,29/560-841,30/211-2333,info@agrocentrum.hu,,0,,,,,,,,,0,,,30-2353178,Kosztolányi Zoltánné,,0,,,,,,,1,2,,,,,01,02,,,Hivatali telefon,Hivatali fax,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5140,100048,Agro-Chemichalia Kft,Agro-Chemichalia Kft,8002,Székesfehérvár,Kiskút u. 1     Pf:115,22/348-472,20/9-416-198,22/389-638,,,0,,,,11118589207,,,,,0,,,,Szabó Ráfael,,0,,,,,,,1,5,2,,,,01,05,02,,Hivatali telefon,Rádiótelefon,Hivatali fax,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5141,100049,Agrochimtranspack Kf,Agrochimtranspack Kft,4623,Tuzsér,Pf.12,45/541-010,45/541-015,45/728-431,,,0,Gonda József 30/589-85-49,,,10754700243,,,,,0,,,45/541-013,Lovácsi József,,0,,,,,,,1,1,1,2,,,01,01,01,02,Hivatali telefon,Hivatali telefon,Hivatali telefon,Hivatali fax,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5142,100050,Agro-Farmer kft,Agro-Farmer kft,6077,Orgovány,Kossuth u.2,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5143,100051,Agrofol-Ker Kft.,Agrofol-Ker Kft.,3015,Csány,Szabadság tér 1.,30/479-5311,30/9-634-035,37/357-008,info@agrofol-ker.hu,,0,,,,11166537210,,,,,0,,,37/557-006,37/357-196,,0,,,,,,,5,5,1,2,,,05,05,01,02,Rádiótelefon,Rádiótelefon,Hivatali telefon,Hivatali fax,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5144,100052,Agro-Göd Kft.,Agro-Göd Kft.,2610,Nõtincs,Szondi u.42.,30/9-617-753,35/360-270,,,,0,,,,12069914212,,,,,0,,,,,,0,,,,,,,5,2,,,,,05,02,,,Rádiótelefon,Hivatali fax,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5145,100053,Agro-Harta ZRt.,Agro-Harta ZRt.,6326,Harta,Széchenyi u. 18.,78/407-028,20/9-529-182,78/407-023,agroharta@hartainfo.hu,,0,Hinkel Henrik 20/95-29-182,,,11885306203,,,,,0,,,,,,0,,,,,,,2,5,1,,,,02,05,01,,Hivatali fax,Rádiótelefon,Hivatali telefon,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5146,100054,Agro-Homok Szövetkez,Agro-Homok Szövetkezet   ,6341,Homokmégy,Kossuth L.u.103.,30/249-15-11,78/454463,78/461-222,,,0,,1091,,12472990203,,,,,0,,,,LEVELEZÉSI CÍMRE FIGYELNI!!!!! KALOCSA,,1,6300,Kalocsa,Meszesi út 2/b,,,,5,1,2,,,,05,01,02,,Rádiótelefon,Hivatali telefon,Hivatali fax,,311,Belföldi követelések,3,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5147,100055,Agro-Import Kft.,Agro-Import Kft.,6070,Izsák,Rákóczi u.1,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,,,,,
5148,100056,Linzer  Kft. Beled,Linzer Agro Trade Hung. Kft Beledi Régió,9343,Beled,Rákóczi út 230.,06-96/257-174,96/257-174,,,,0,,,,,,,,,0,,,,,,0,,,,,,,1,2,,,,,01,02,,,Hivatali telefon,Hivatali fax,,,,,,,,,,,,,,,,,
5149,100057,Agrokémiai Egyesülés,Agrokémiai Egyesülés,7131,Tolna-Mõzs,Palánk u.5.,74/440-344,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5150,100058,Agroker Kft.,Agroker Áruház Kft.,6000,Kecskemét,Halasi ,76/506 101,76/506 100,76/507-180,info@agrokeraruhaz.hu,WWW.AGROKER.hu,0,,,,14498213203,,,,,0,,,30/3587849 szabó,,,1,6000,Kecskemét,Halasi út 29,,,,1,1,2,,,,01,01,02,,Hivatali telefon,Hivatali telefon,Hivatali fax,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5151,100059,Agroker Holding Zrt.,Agroker Holding Zrt.,4400,Nyíregyháza,Kinizsi u. 2.,06-42-598-473,06/42/598-469,,,,0,Varga Attila 70/33-10-413,1091,,11246646215,,,,,0,,,,Pénzügy: Veiszné: 42/598-465,Poór Eszter   42/598-475,0,,,,,,,1,2,,,,,01,02,,,Hivatali telefon,Hivatali fax,,,311,Belföldi követelések,3,,,,,NRM,Normál,1,T,Termelõ,57,,
5152,100060,Agrokémia Kft.,Agrokémia Kft.,7044,Nagydorog,Mezõ I. u. 28,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5153,100061,Linzer Agro Szolnok,Linzer Agro Trade KFt. Szolnok,5000,Szolnok,Kombájn út 1.,56/520-261,56/521-042,,szolnok@agrolinz.hu,,0,Jánoska Tünde 30/201-63-53,,,,,,,,0,,,,Kalla Zsolt 30/24-24-288,,0,,,,,,,2,1,,,,,02,01,,,Hivatali fax,Hivatali telefon,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
14619,100062,Palotás Tibor,Palotás Tibor Végrehajtói Iroda,,Szeged,Takaréktár u.2,62/313-346,,,,,0,,,,13869322106,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
14776,100063,Borbély István + ,Borbély István id. + NE HASZNÁLD,5451,Öcsöd,Hunyadi M. u. 15/a,30/410-6160,csak kp,,,,0,,,,78019023236,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5156,100064,Gyöngyösi Géza,Gyöngyösi Géza,2370,Dabas,Pákozdi u.4.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
14784,100065,Krepsz Zoltán,Krepsz Zoltán,6086,Szalkszentmárton,Hársfa u.14.,30/2709020,,,,,0,,,,78629220123,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13206,100066,Szeri Paprika Kft.,Szeri Paprika Kft.,6769,Pusztaszer,Kossuth major,62/276-455,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,,,,,,,,
5159,100067,Szaniszló Ferenc,Szaniszló Ferenc,6000,Kecskemét,Szolnoki hegy 240.,20/9290-174,,,,,0,,,,60005714223,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5160,100068,Linzer Agro Kft.*,Linzer Agro Trade Hungary Kft.,1071,Budapest,Peterdy u.15.,1/479-5959,1/479-5949,1/351-7674,,,0,Szõke József 30/740-3723,,,10458253244,,,,,0,,,66/520-710/13 NAgyné,kortvelyessy.magdolna@agrolinz.hu,,0,,,,,,,1,2,2,,,,01,02,02,,Hivatali telefon,Hivatali fax,Hivatali fax,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5161,100069,Agromag Kft.,Agromag Kft.,6722,Szeged,Jósika u.13.,62/426-096,62/425-524,30/9-552-910,agromag@mail.tiszanet.hu,,0,Tóth Dezsõ,,,10452068206,,,,,0,,,,,"Kancsár Csaba 62/426-096, 30/3-824-922",0,,,,,,,1,2,5,,,,01,02,05,,Hivatali telefon,Hivatali fax,Rádiótelefon,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5162,100070,Agro-Mat Szaküzlet,Agro-Mat Mg.Szaküzlet,6200,Kiskõrös,Rákóczi u. 24.,78/312-069,20/9-124-640,,,,0,,,,4404765223 ,,,,,0,,,,,,0,,,,,,,1,5,,,,,01,05,,,Hivatali telefon,Rádiótelefon,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5163,100071,Agromis Term.Ker.,Agromis Term.Kereskedelmi és Szolg. Kft.,6343,Miske,Szent Imre u. 13.,78/367-183,20/9-685-275,78/367-973,,,0,,,,,,,,,0,,,,Miskei Ferenc,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
14813,100072,Kalán János,Kalán János,6098,Tass,Mátyás kir.u.17,30/9780-707,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5165,100073,Agro-rét Kft.,Agro-rét Kft.,6640,Csongrád,Nagyrét 1110.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5166,100074,Agrosarok Ház Kft Ga,Agrosarok Ház Kft Gazdabolt,6787,Zákányszék,Bordányi u 2,62/590-003,30/9-530-612,62/590-004,,,0,,,,11392826206,,,,,0,,,csak kp-ra,Vassné,,0,,,,,,,1,5,2,,,,01,05,02,,Hivatali telefon,Rádiótelefon,Hivatali fax,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
14812,100075,Kovács István,Kovács István,6098,Tass,Március 15. u. 1/a.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14851,100076,Kovács Lukácsné,Kovács Lukácsné,6086,Szalkszentmárton,Bacsó B. utca 32.,20/381-3810,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,,,,,,,,
5169,100077,Nagy János,Nagy János,5630,Békés,Kispince u. 6.,30/9341-932,,,,,0,,,,44653130224,,,,,0,,,,,,1,7211,Dalmand,Dózsa Tér 1.,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5170,100078,Bodoné Lantai Vilma,Bodoné Lantai Vilma,2890,Tata,Budai Nagy A.u.14,30/396-29-84,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5171,100079,Agro-Tranzit 2000 Kf,Agro-Tranzit 2000 Kft.,7140,Bátaszék,Bonyhádi u. 7.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5172,100080,Dr.Csala Erika,Dr. Csala Erika végrehajtó,6000,Kecskemét,Korona u. 2. VI. 61-62.,76/418-199,,,csalaimre@axelero.hu,,0,,,,           ,,,,,0,,,,,,0,,,,,,,1,2,1,5,,,01,02,01,05,Hivatali telefon,Hivatali fax,Hivatali telefon,Rádiótelefon,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5173,100081,Agro-Vitis Szövetkez,Agro-Vitis Szövetkezet,6080,Szabadszállás,Tompa M.tér 1.,30/2185-889,30/9-535-423,,,,0,,,,11027645203,,,,,0,,,,,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5174,100082,Kurenda Sándor,Kurenda Sándor,5700,Szolnok,Hóvirág u.22.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5175,100083,AKA Rt,AKA Rt,1126,Budapest,Tarcsay u.3,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12524,100084,Csizmadia Ilona,Csizmadia Ilona,6621,Nagymágocs,Ótompahát 11.,20/9467-587,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5177,100085,Alex Kft.,Alex Kft.,5000,Szolnok,Mozdony,,,,,,0,,,,10514652216,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5178,100086,Szabó Zoltán,Szabó Zoltán,6088,Apostag,Széchenyi u. 8.,0620/416-28-50,,,,,0,,,,75824419123,,,,,0,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5179,100087,Alföld Trans Kft,Alföld Trans Kft,6000,Kecskemét,Mindszenti t 2.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5180,100088,Alföldi Agrárház  ,Alföldi Agrárház Kft.,5600,Békéscsaba,Munkácsy u. 3.,66/546-101,66/546-100,30/383-5592,alföldiagrarhaz@alfoldiagrarha,z.hu,0,Fachs Judit ügyv.,,,12673524204,,,,,0,,,30/3835590 vágvölgyi,Vágvölgyi Árpád ügyv.,,0,,,,,,,2,1,,,,,02,01,,,Hivatali fax,Hivatali telefon,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5181,100089,Dr.Asztalos Károly,Asztalos Károly Dr.,,Budapest,Botfalu u.36.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
